species,deviance,null_mod,index,resolution,dev_explained,kind,index2
Agrostis schraderiana,0.20836030693772625,0.1361607240263606,TWI,301,0.07219958291136563,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.1387978177276603,0.1361607240263606,VR3,1,0.00263709370129971,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.14365137866069033,0.1361607240263606,VR3,3,0.00749065463432974,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.14786023473820542,0.1361607240263606,VR3,7,0.01169951071184483,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.14742033171577162,0.1361607240263606,VR3,15,0.01125960768941103,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.14515800873671203,0.1361607240263606,VR3,19,0.00899728471035143,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.14607203148637482,0.1361607240263606,VR3,25,0.00991130746001423,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.1475947952136598,0.1361607240263606,VR3,31,0.01143407118729922,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.15304690810609278,0.1361607240263606,VR3,51,0.01688618407973219,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.15789214698304022,0.1361607240263606,VR3,71,0.02173142295667962,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.170662013049655,0.1361607240263606,VR3,101,0.03450128902329441,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.19720184573804156,0.1361607240263606,VR3,151,0.06104112171168097,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.21429318629597097,0.1361607240263606,VR3,201,0.07813246226961035,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.2100491012263217,0.1361607240263606,VR3,301,0.07388837719996111,species,Vector Ruggedenss Measure 3×3 (VR3)
Agrostis schraderiana,0.1399702436737288,0.1361607240263606,VR5,1,0.00380951964736819,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.14814539342326227,0.1361607240263606,VR5,3,0.01198466939690168,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.14954991646351734,0.1361607240263606,VR5,7,0.01338919243715675,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.14721085763806674,0.1361607240263606,VR5,15,0.01105013361170614,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.14824894585963988,0.1361607240263606,VR5,19,0.01208822183327928,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.1499680719431742,0.1361607240263606,VR5,25,0.01380734791681359,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.15139202188109768,0.1361607240263606,VR5,31,0.01523129785473709,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.15734261366209146,0.1361607240263606,VR5,51,0.02118188963573086,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.1652641134118824,0.1361607240263606,VR5,71,0.02910338938552181,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.18332829071689083,0.1361607240263606,VR5,101,0.04716756669053024,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.21188140273584588,0.1361607240263606,VR5,151,0.07572067870948529,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.20861266630326292,0.1361607240263606,VR5,201,0.07245194227690233,species,Vector Ruggedenss Measure 5×5 (VR5)
Agrostis schraderiana,0.1603381875802945,0.1361607240263606,VR5,301,0.02417746355393391,species,Vector Ruggedenss Measure 5×5 (VR5)
